Title,language_type,primary_genre,overview,vote_average,vote_count,popularity,is_popular
Deep Blue Sea 3,Hollywood,Action,"Dr. Emma Collins and her team are spending their third summer on the island of Little Happy studying the effect of climate change on the great white sharks who come to the nearby nursery every year to give birth. Along with the last two inhabitants of this former fishing village, their peaceful life is disrupted when a ""scientific"" team led by her ex-boyfriend and marine biologist Richard show up looking for three bull sharks who we soon learn aren't just any bull sharks.",5.747,259.0,37.855,0
Black Is King,Hollywood,Music,"This visual album from Beyoncé reimagines the lessons of ""The Lion King"" (2019) for today’s young kings and queens in search of their own crowns.",7.5,116.0,8.576,1
Summerland,Hollywood,Drama,A woman during the Second World War opens her heart to an evacuee after initially resolving to be rid of him.,7.596,166.0,11.068,1
She Dies Tomorrow,Hollywood,Drama,"Amy is ravaged by the notion that she is going to die tomorrow, which sends her down a dizzying emotional spiral. When her skeptical friend Jane discovers Amy’s feeling of imminent death to be contagious, they both begin bizarre journeys through what might be the last day of their lives.",5.329,129.0,12.777,0
An American Pickle,Hollywood,Comedy,"An immigrant worker at a pickle factory is accidentally preserved for 100 years and wakes up in modern day Brooklyn. He learns his only surviving relative is his great grandson, a computer coder who he can’t connect with.",5.7,391.0,14.127,0
The Tax Collector,Hollywood,Action,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,5.7,406.0,26.078,0
Waiting for the Barbarians,Hollywood,Drama,"At an isolated frontier outpost, a colonial magistrate suffers a crisis of conscience when an army colonel arrives looking to interrogate the locals about an impending uprising, using cruel tactics that horrify the magistrate.",6.0,308.0,11.454,0
Project Power,Hollywood,Action,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",6.5,2568.0,21.171,0
Magic Camp,Hollywood,Family,"Andy, at the urging of his former mentor and Magic Camp owner Roy Preston, returns to the camp of his youth hoping to reignite his career. Instead, he finds inspiration in his ragtag bunch of rookie magicians.",6.9,182.0,10.434,0
Spree,Hollywood,Thriller,"Desperate for an online following, a rideshare driver has figured out a deadly plan to go viral and he will stop at nothing to get his five minutes of fame.",6.5,348.0,16.084,0
Boys State,Hollywood,Documentary,"In an unusual experiment, a thousand 17-year-old boys from Texas join together to build a representative government from the ground up.",7.1,79.0,9.481,1
The One and Only Ivan,Hollywood,Family,"A gorilla named Ivan who’s living in a suburban shopping mall tries to piece together his past, with the help of other animals, as they hatch a plan to escape from captivity.",7.459,513.0,17.689,1
Unhinged,Hollywood,Action,A divorced mother honks impatiently at a deranged middle-aged stranger at a red light while running late on her way to work. His road rage escalates to horrifyingly psychotic proportions as he becomes single-mindedly determined to teach her a deadly lesson for provoking him.,6.467,1925.0,27.014,0
Tesla,Hollywood,History,"The story of the Promethean struggles of Nikola Tesla, as he attempts to transcend entrenched technology—including his own previous work—by pioneering a system of wireless energy that would change the world.",5.9,269.0,18.31,0
Cut Throat City,Hollywood,Action,"Four boyhood friends return to New Orleans’ Lower Ninth Ward after Hurricane Katrina, to find their home decimated and prospects for work swept away. Turning to a local gangster for employment, the crew is hired to pull off a daring casino heist, right in the heart of the city.",6.5,125.0,17.1,0
Words on Bathroom Walls,Hollywood,Drama,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",7.946,490.0,10.863,1
Hard Kill,Hollywood,Action,"The work of billionaire tech CEO Donovan Chalmers is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",5.2,460.0,19.288,0
Chemical Hearts,Hollywood,Drama,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",7.404,1043.0,16.048,1
Tenet,Hollywood,Action,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",7.196,8391.0,53.492,1
Bill & Ted Face the Music,Hollywood,Comedy,"Yet to fulfil their rock and roll destiny, the now middle-aged best friends Bill and Ted set out on a new adventure when a visitor from the future warns them that only their song can save life as we know it. Along the way, they are helped by their daughters, a new batch of historical figures and a few music legends — to seek the song that will set their world right and bring harmony to the universe.",5.9,768.0,24.173,0
The New Mutants,Hollywood,Science Fiction,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",6.168,3037.0,34.148,0
The Personal History of David Copperfield,Hollywood,Comedy,"A fresh and distinctive take on Charles Dickens’ semi-autobiographical masterpiece, The Personal History of David Copperfield, set in the 1840s, chronicles the life of its iconic title character as he navigates a chaotic world to find his elusive place within it. From his unhappy childhood to the discovery of his gift as a storyteller and writer, David’s journey is by turns hilarious and tragic, but always full of life, colour and humanity.",6.494,400.0,12.558,0
I'm Thinking of Ending Things,Hollywood,Drama,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,6.583,1665.0,16.698,0
Centigrade,Hollywood,Thriller,"A young American couple travel to the arctic mountains of Norway. After pulling over during a snowstorm, they wake up trapped in their SUV, buried underneath layers of snow and ice.",5.937,237.0,12.529,0
Fatima,Hollywood,Drama,"In 1917, outside the parish of Fátima, Portugal, a 10-year-old girl and her two younger cousins witness multiple visitations of the Virgin Mary, who tells them that only prayer and suffering will bring an end to World War I.  As secularist government officials and Church leaders try to force the children to recant their story, word of the sighting spreads across the country, inspiring religious pilgrims to flock to the site in hopes of witnessing a miracle..",7.5,147.0,9.663,1
"Love, Guaranteed",Hollywood,Romance,A lawyer takes on a new client that wants to sue a dating website because it guarantees love.,6.4,590.0,9.309,0
Critical Thinking,Hollywood,Drama,"Based on a true story from 1998, five Latino and Black teenagers from the toughest underserved ghetto in Miami fight their way into the National Chess Championship under the guidance of their unconventional but inspirational teacher.",6.806,36.0,6.004,0
The Owners,Hollywood,Thriller,"A group of friends think they found the perfect easy score - an empty house with a safe full of cash. But when the elderly couple that lives there comes home early, the tables are suddenly turned. As a deadly game of cat and mouse ensues, the would-be thieves must fight to save themselves from a nightmare they could never have imagined.",5.7,297.0,17.984,0
Guest House,Hollywood,Comedy,"A newly engaged couple finds the home of their dreams and it quickly becomes a nightmare when the previous owner's friend continues squatting in their guest house. It leads to a turf war that ultimately ruins their house, their marriage and their lives.",5.8,54.0,8.238,0
The Babysitter: Killer Queen,Hollywood,Comedy,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",6.386,1393.0,25.948,0
Unpregnant,Hollywood,Drama,"A 17-year old Missouri teen discovers she has gotten pregnant, a development that threatens to end her dreams of matriculating at an Ivy League college, and the career that could follow.",7.169,245.0,14.808,1
The Devil All the Time,Hollywood,Crime,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",7.229,2960.0,25.745,1
The Broken Hearts Gallery,Hollywood,Comedy,"Lucy is a young gallery assistant who collects mementos from her relationships. She discovers that she must let go of her past to move forward, and comes up with a lovely, artistic way to help herself and others who have suffered heartbreak.",7.3,278.0,18.513,1
I Met a Girl,Hollywood,Romance,"An impulsive musician struggling with schizophrenia falls for a mysterious woman who may be all in his head. When she suddenly vanishes, he takes off on a cross- country journey across Australia to find her, forcing his long-suffering brother to try to rescue him.",6.4,39.0,6.998,0
Rent-A-Pal,Hollywood,Horror,"Set in 1990, a lonely bachelor named David searches for an escape from the day-to-day drudgery of caring for his aging mother.  While seeking a partner through a video dating service, he discovers a strange VHS tape called Rent-A-Pal. Hosted by the charming and charismatic Andy, the tape offers him much-needed company, compassion, and friendship. But Andy's friendship comes at a cost, and David desperately struggles to afford the price of admission.",6.5,81.0,7.279,0
The Secrets We Keep,Hollywood,Thriller,"In post-World War II America, a woman, rebuilding her life in the suburbs with her husband, kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.",6.057,211.0,11.174,0
Antebellum,Hollywood,Horror,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,6.3,807.0,17.294,0
The Nest,Hollywood,Drama,"Rory is an ambitious entrepreneur who brings his American wife and kids to his native country, England, to explore new business opportunities. After abandoning the sanctuary of their safe American suburban surroundings, the family is plunged into the despair of an archaic '80s Britain and their unaffordable new life in an English manor house threatens to destroy the family.",6.1,261.0,10.63,0
Lost Girls & Love Hotels,Hollywood,Drama,"Searching for escape in Tokyo's back alleys, a haunted English teacher explores love and lust with a dashing Yakuza, as their tumultuous affair takes her on a journey through the city's dive bars and three-hour love hotels.",5.4,142.0,20.302,0
Killian & the Comeback Kids,Hollywood,Drama,"Forced to return to his struggling hometown after an expensive college degree, Killian gathers former childhood friends to audition for a music festival coming to their once prosperous steel town.",0.0,0.0,0.6,0
Enola Holmes,Hollywood,Adventure,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",7.308,5391.0,24.533,1
The Trial of the Chicago 7,Hollywood,Drama,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,7.7,2696.0,16.85,1
Ava,Hollywood,Action,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,5.8,2272.0,51.757,0
Kajillionaire,Hollywood,Crime,"Two con artists have spent 26 years training their only daughter to swindle, scam and steal at every turn. During a desperate and hastily conceived heist, they charm a stranger into joining them, only to have their entire world turned upside down.",6.4,363.0,13.707,0
The Last Shift,Hollywood,Comedy,"Stanley, an aging fast food worker, prepares to work his final graveyard shift after 38 years. When he's asked to train his replacement, Jevon, Stanley's weekend takes an unexpected turn.",5.5,66.0,11.953,0
Sightless,Hollywood,Thriller,"After an attack renders her blind, Ellen withdraws from the world to recover. But soon she plunges into paranoia, unable to convince anyone that her assailant has returned to terrorize her by hiding in plain sight.",7.0,327.0,13.99,1
The Boys in the Band,Hollywood,Drama,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",6.8,391.0,10.149,0
The Glorias,Hollywood,Drama,"An equal rights crusader, journalist and activist: Gloria Steinem embodies these and more. From her role in the revolutionary women's rights movement to her travels throughout the U.S. and around the world, Steinem has made an everlasting mark on modern history. A nontraditional chronicle of a trailblazing life.",6.5,43.0,8.302,0
On the Rocks,Hollywood,Drama,"Faced with sudden doubts about her marriage, a young New York mother teams up with her larger-than-life playboy father to tail her husband.",6.2,539.0,11.278,0
Spontaneous,Hollywood,Comedy,"When students in their high school begin inexplicably exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.",6.9,457.0,15.309,0
Vampires vs. the Bronx,Hollywood,Comedy,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community.,5.8,250.0,12.32,0
Death of Me,Hollywood,Horror,"A couple on holiday on a remote South Pacific island awaken one morning with a hang over and no recollection of what transpired. When playing back a video of the previous night, they see they participated in a local ritual that somehow ends with him murdering her.",5.0,216.0,15.29,0
American Pie Presents: Girls' Rules,Hollywood,Comedy,"It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.",6.3,527.0,56.0,0
The Lie,Hollywood,Drama,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",6.375,594.0,11.917,0
Black Box,Hollywood,Horror,"After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",6.5,454.0,17.162,0
Hubie Halloween,Hollywood,Comedy,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",6.0,1414.0,17.18,0
Books of Blood,Hollywood,Horror,A journey into uncharted and forbidden territory through three tales tangled in space and time.,6.5,326.0,16.772,0
Charm City Kings,Hollywood,Drama,"Mouse desperately wants to join The Midnight Clique, the infamous Baltimore dirt bike riders who rule the summertime streets. When Midnight’s leader, Blax, takes 14-year-old Mouse under his wing, Mouse soon finds himself torn between the straight-and-narrow and a road filled with fast money and violence.",7.9,381.0,29.4,1
The War with Grandpa,Hollywood,Comedy,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",6.4,811.0,29.302,0
A Rainy Day in New York,Hollywood,Comedy,"Two young people arrive in New York to spend a weekend, but once they arrive they're met with bad weather and a series of adventures.",6.499,2027.0,1.74,0
Yellow Rose,Hollywood,Drama,"Rose, a 17-year-old Filipino-American teenager from Texas, dreams of becoming a country music icon. She has to fend for herself when her mother is arrested by ICE, and must choose between following her dreams without her mother or leaving her passions behind.",6.9,18.0,5.34,0
Nocturne,Hollywood,Horror,"Inside the halls of an elite arts academy, a timid music student begins to outshine her more accomplished and outgoing twin sister when she discovers a mysterious notebook belonging to a recently deceased classmate.",5.884,361.0,16.105,0
Evil Eye,Hollywood,Mystery,A seemingly perfect romance turns dark when a mother becomes convinced her daughter’s new boyfriend has a sinister connection to her own past.,5.5,142.0,13.476,0
A Babysitter's Guide to Monster Hunting,Hollywood,Family,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",6.2,268.0,22.586,0
Love and Monsters,Hollywood,Comedy,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",7.345,3548.0,27.175,1
Honest Thief,Hollywood,Thriller,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",6.53,1491.0,32.284,0
Clouds,Hollywood,Music,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",8.3,931.0,18.62,1
The Devil Has a Name,Hollywood,Drama,An oil baron and a farmer standoff after the water on his farm is poisoned by her company.,5.3,45.0,10.519,0
The Kid Detective,Hollywood,Comedy,"A once-celebrated kid detective, now 31, continues to solve the same trivial mysteries between hangovers and bouts of self-pity. Until a naive client brings him his first 'adult' case, to find out who brutally murdered her boyfriend.",6.6,315.0,9.765,0
Alone,Hollywood,Thriller,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",6.279,554.0,43.99,0
2 Hearts,Hollywood,Romance,"When illness strikes two people who are polar opposites, life and death bring them together in surprising ways.",7.471,489.0,32.224,1
The Opening Act,Hollywood,Comedy,"The film follows Will Chu whose true life passion is to become a stand-up comedian. He is given the opportunity to emcee a comedy show, opening for his hero, Billy G. Chu has to decide if he wants to continue the life he has set up or to pursue his dream, the life of a comedian.",5.9,17.0,4.789,0
Tremors: Shrieker Island,Hollywood,Action,"Graboids are illegally taken to a new island resort by a rich playboy as a dangerous form of trophy hunting, and Burt Gummer steps up to save the day.",6.2,156.0,17.555,0
Over the Moon,Hollywood,Animation,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",7.2,1173.0,27.893,1
Borat Subsequent Moviefilm,Hollywood,Comedy,"14 years after making a film about his journey across the USA, Borat risks life and limb when he returns to the United States with his young daughter, and reveals more about the culture, the COVID-19 pandemic, and the political elections.",6.5,2200.0,19.697,0
After We Collided,Hollywood,Romance,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,7.205,4958.0,163.037,1
The Empty Man,Hollywood,Horror,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",6.189,608.0,28.579,0
Synchronic,Hollywood,Science Fiction,"Two New Orleans paramedics' lives are ripped apart after encountering a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",6.282,721.0,34.042,0
Bad Hair,Hollywood,Horror,"In 1989, an ambitious young woman gets a weave in order to succeed in the image-obsessed world of music television. However, her flourishing career may come at a great cost when she realizes that her new hair may have a mind of its own.",6.0,55.0,13.421,0
Friendsgiving,Hollywood,Comedy,"Newly-divorced actress Molly, her recently-dumped lesbian best friend Abby and Molly’s mother Helen host a dysfunctional, comical and chaotic Thanksgiving dinner for their motley crew of close friends and strange acquaintances.",4.5,61.0,9.396,0
The Craft: Legacy,Hollywood,Horror,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,6.248,672.0,26.398,0
Holidate,Hollywood,Comedy,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",7.057,1930.0,17.986,1
Come Play,Hollywood,Horror,"A lonely young boy feels different from everyone else. Desperate for a friend, he seeks solace and refuge in his ever-present cell phone and tablet. When a mysterious creature uses the boy’s devices against him to break into our world, his parents must fight to save their son from the monster beyond the screen.",6.382,537.0,14.692,0
His House,Hollywood,Horror,"After making a harrowing escape from war-torn South Sudan, a young refugee couple struggle to adjust to their new life in a small English town that has an unspeakable evil lurking beneath the surface.",6.472,942.0,23.047,0
Spell,Hollywood,Thriller,"A father survives a plane crash in rural Appalachia, but becomes suspicious of the elderly couple who take him in to nurse him back to health with the ancient remedies.",6.5,343.0,19.448,0
Jungleland,Hollywood,Drama,"Stanley manages his boxer brother Lion but when a devastating loss in the ring leaves the pair in debt, an opportunity to recoup the cash leads to a series of misadventures that threaten to break the bond between them.",6.7,119.0,8.31,0
Let Him Go,Hollywood,Drama,"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.",6.9,528.0,16.346,0
The Informer,Hollywood,Drama,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.",6.5,700.0,23.447,0
The Dark and the Wicked,Hollywood,Horror,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",6.1,328.0,16.524,0
Hillbilly Elegy,Hollywood,Drama,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",6.8,784.0,14.171,0
Mank,Hollywood,Drama,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,6.8,1403.0,12.818,0
Freaky,Hollywood,Comedy,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",6.594,1339.0,27.477,0
Jingle Jangle: A Christmas Journey,Hollywood,Family,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",6.7,449.0,16.797,0
Dreamland,Hollywood,Drama,"Amid the dust storms and economic depression of Dust Bowl Era Oklahoma, Eugene Evans finds his family farm on the brink of foreclosure. Discovering fugitive bank robber Allison Wells hiding in his small town, he is torn between claiming the bounty on her head and his growing attraction to the seductive criminal.",6.0,188.0,17.044,0
Fatman,Hollywood,Action,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",5.5,706.0,16.738,0
The Climb,Hollywood,Comedy,"Kyle and Mike are best friends who share a close bond — until Mike sleeps with Kyle’s fiancée. A stormy but enduring relationship ensues between Kyle, with limitless patience, and Mike, who only lives his life by sowing discord in that of others, across many years of laughter, heartbreak, and rage.",6.3,107.0,6.801,0
Chick Fight,Hollywood,Action,"When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.",5.9,199.0,9.262,0
The Princess Switch: Switched Again,Hollywood,Family,"When Duchess Margaret unexpectedly inherits the throne & hits a rough patch with Kevin, it’s up to Stacy to save the day before a new lookalike — party girl Fiona — foils their plans.",6.9,792.0,14.016,0
Run,Hollywood,Thriller,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",7.35,2145.0,29.872,1
Sound of Metal,Hollywood,Drama,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",7.7,2178.0,15.506,1
Jiu Jitsu,Hollywood,Action,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",4.922,546.0,43.417,0
Buddy Games,Hollywood,Comedy,"After six lifelong friends have a five-year falling out, “The Bobfather”, reunites his pals for the Buddy Games, an insane competition of absurd physical and mental challenges with the chance to win a $150,000 pot. Now all bets are off, as the determined dudes' fight, claw, and party for the big bucks.",5.3,189.0,19.557,0
The Croods: A New Age,Hollywood,Animation,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",7.5,3370.0,97.037,1
Happiest Season,Hollywood,Romance,A young woman's plans to propose to her girlfriend while at her family's annual holiday party are upended when she discovers her partner hasn't yet come out to her conservative parents.,7.364,999.0,17.398,1
Ma Rainey's Black Bottom,Hollywood,Drama,Tensions rise when the trailblazing Mother of the Blues and her band gather at a Chicago recording studio in 1927. Adapted from August Wilson's play.,6.689,1043.0,9.329,0
Uncle Frank,Hollywood,Drama,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid.",7.4,346.0,17.273,1
Folklore: The Long Pond Studio Sessions,Hollywood,Music,"An intimate concert film, in which Taylor Swift performs each song from her album 'folklore' in order, as she reveals the meaning and the stories behind all 17 tracks for the very first time.",8.7,117.0,13.229,1
Superintelligence,Hollywood,Comedy,"When an all-powerful Superintelligence chooses to study the most average person on Earth, Carol Peters, the fate of the world hangs in the balance. As the A.I. decides to enslave, save or destroy humanity, it’s up to Carol to prove that people are worth saving.",6.0,200.0,11.193,0
Life in a Year,Hollywood,Drama,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",8.299,1480.0,86.055,1
The Prom,Hollywood,Romance,"After the PTA of a conservative high school in Indiana bans same-sex couples from attending the annual prom, a gang of flamboyant Broadway stars try to boost their image by showing up to support two lesbian students.",6.2,622.0,9.477,0
All My Life,Hollywood,Romance,"It was a chance meeting started by one of Sol’s friends trying to chat up Jennifer. However, in the end, it was those two who hit it off. Sol enjoyed Jen’s smile, her effort, and how silly she could be. Jen enjoyed Sol’s cooking, his athleticism, and that he would join her in fun moments. As you can imagine, love bloomed, and things got serious. Jen’s investment in Sol led to her pushing him to follow his dreams and even move in to save money. Sol’s investment in Jen well, it led to him proposing. But what started as a liver tumor grew into full-on cancer, so with a diagnosis of 6 months to live, Sol and Jennifer try to make the best of it.",7.9,420.0,18.204,1
Godmothered,Hollywood,Family,"A young and unskilled fairy godmother that ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored. What she discovers is that the girl has now become a grown woman in need of something very different than a ""prince charming.""",6.9,535.0,23.613,0
Half Brothers,Hollywood,Comedy,"A story about the complex connection with a brother who is based in Mexico, meant to be a metaphor of the relationship between neighboring countries America and Mexico.",7.536,180.0,14.842,1
Wander,Hollywood,Thriller,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",5.4,244.0,10.952,0
Black Bear,Hollywood,Drama,"At a remote lake house in the Adirondack Mountains, a couple entertains an out-of-town guest looking for inspiration in her filmmaking. The group quickly falls into a calculated game of desire, manipulation, and jealousy, unaware of how dangerously intertwined their lives will soon become.",6.562,193.0,10.579,0
Let Them All Talk,Hollywood,Comedy,A celebrated author takes a journey with some old friends to have some fun and heal old wounds. Her nephew comes along to wrangle the ladies and finds himself involved with a young literary agent.,5.7,199.0,9.916,0
The Midnight Sky,Hollywood,Science Fiction,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,5.8,1624.0,16.997,0
Songbird,Hollywood,Thriller,"During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",6.231,653.0,27.293,0
Wild Mountain Thyme,Hollywood,Romance,"Headstrong farmer Rosemary Muldoon has her heart set on winning her neighbour Anthony Reilly's love. The problem is, Anthony seems to have inherited a family curse, and remains oblivious to his beautiful admirer. Stung by his father's plans to sell the family farm to his American nephew, Anthony is jolted into pursuing his dreams.",5.2,126.0,9.379,0
Safety,Hollywood,Family,"The story of Ray-Ray McElrathbey, a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady.",7.594,154.0,10.74,1
Wander Darkly,Hollywood,Romance,New parents Adrienne and Matteo are forced to reckon with trauma amidst their troubled relationship. They must revisit the memories of their past and unravel haunting truths in order to face their uncertain future.,6.3,52.0,10.235,0
I'm Your Woman,Hollywood,Crime,"A woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",6.0,176.0,8.826,0
The Stand In,Hollywood,Comedy,"When ordered to serve a year in rehab, actress Candy hires her on-set stand-in to take her place. The unassuming woman flips the script and steals her identity, career and boyfriend in this hilarious comedy about trading places.",5.5,95.0,10.086,0
Archenemy,Hollywood,Action,"Max Fist claims he’s a hero from another dimension who has somehow landed on Earth and been stripped of his powers. Instead of treating him like a powerful champion, no one believes Max’s claims — except for a teenager named Hamster and his sister Indigo. The siblings convince Max to help them take out a local drug gang, where Max’s abilities are put to a violent and harrowing test.",5.5,92.0,9.015,0
Farewell Amor,Hollywood,Romance,"Reunited after a 17-year separation, Walter, an Angolan immigrant, is joined in the U.S. by his wife and teenage daughter. Now absolute strangers sharing a one-bedroom apartment, they discover a shared love of dance that may help overcome the emotional distance between them.",7.1,34.0,5.733,1
Monster Hunter,Hollywood,Action,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",6.641,2927.0,70.049,0
Greenland,Hollywood,Action,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",7.145,3895.0,41.867,1
Fatale,Hollywood,Drama,"After a one-night stand, a successful married man finds himself entangled and tricked in a female detective's latest investigation murder scheme.",6.1,272.0,20.996,0
Skylines,Hollywood,Science Fiction,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",5.595,467.0,33.613,0
Hunter Hunter,Hollywood,Horror,"A fur trapper leaves his wife and daughter behind to kill a rogue wolf in the remote wilderness, but they soon become increasingly worried when their peaceful existence is disrupted.",6.457,232.0,12.774,0
